"label","gemeturi","glossaryuri","comments","replacewith","geonames","instructions: "
"diet",,,,,,
"dietary",,,,"diet",,
"diffuse",,,,"diffuse contamination",,
"diffuse contamination",,,,,,
"diffuse sources",,,,,,
"dike",,,,"dikes",,
"dioxin","http://www.eionet.europa.eu/gemet/concept/2207","http://glossary.eea.europa.eu/EEAGlossary/D/dioxin",,"dioxins",,
"dioxins and furans",,,,,,
"direct and indirect pressures",,,,,,
"directive","http://www.eionet.europa.eu/gemet/concept/2212",,,,,
"disaster","http://www.eionet.europa.eu/gemet/concept/2215","http://glossary.eea.europa.eu/EEAGlossary/D/disaster",,"disasters",,
"disaster","http://www.eionet.europa.eu/gemet/concept/2215","http://glossary.eea.europa.eu/EEAGlossary/D/disaster_old",,"none",,
"discharge",,"http://glossary.eea.europa.eu/EEAGlossary/D/discharge",,,,
"disease","http://www.eionet.europa.eu/gemet/concept/2232",,,"diseases",,
"diseases",,,,,,
"DISMED",,,,,,
"displacements",,,,,,
"display",,,,"none",,
"disposal",,,,,,
"distribution","http://www.eionet.europa.eu/gemet/concept/2264",,,,,
"distribution of species",,,,,,
"distribution of waste",,,,,,
"DMC",,"http://glossary.eea.europa.eu/EEAGlossary/D/DMC",,,,
"DMC per capita",,,,,,
"domestic animals",,,,,,
"domestic appliance","http://www.eionet.europa.eu/gemet/concept/2290",,,"domestic appliances",,
"domestic material consumption",,"http://glossary.eea.europa.eu/EEAGlossary/D/domestic_material_consumption",,,,
"dominant landscapes types",,,,,,
"DPSIR",,"http://glossary.eea.europa.eu/EEAGlossary/D/DPSIR",,,,
"drinking water","http://www.eionet.europa.eu/gemet/concept/2339","http://glossary.eea.europa.eu/EEAGlossary/D/drinking_water",,,,
"drivers of change",,,,,,
"driving tips",,,,,,
"drought","http://www.eionet.europa.eu/gemet/concept/2347","http://glossary.eea.europa.eu/EEAGlossary/D/drought",,"droughts",,
"droughts",,,,,,
"dry matter",,,,,,
"dust mites",,,,,,
"early warning",,,,"early warnings",,
